"drugId"|"foodInteractionDescription"
"DB00777"|""
"DB00778"|""
"DB00779"|"Drink plenty of fluids. Take with food. Food reduces irritation."
"DB00780"|"Avoid alcohol. Avoid St. John's Wort. Administering phenelzine with St. John's Wort may increase the risk of serotonin syndrome. Avoid tyramine-containing foods and supplements. Tyramine-containing foods and beverages can cause a sudden elevation in blood pressure or a hypertensive crisis. Foods that contain tyramine include aged cheese, ripe bananas, red wine, some alcoholic beverages (beer), cured food, pickled food, and fava beans. Limit caffeine intake. Excess caffeine intake can also cause a hypertensive crisis."
"DB00782"|"Take before a meal. Take before a meal. Propantheline bromide should be taken 15 to 30 minutes before meals."
"DB00783"|""
"DB00784"|"Avoid alcohol. Take with food."
"DB00785"|""
"DB00786"|""
"DB00787"|"Drink plenty of fluids. Dehydration with acyclovir predisposes patients to nephrotoxicity. Take with or without food. The absorption is unaffected by food."
"DB00788"|"Take with food. Food reduces GI irritation."
"DB00789"|""
"DB00790"|"Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice). Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia. Limit salt intake. Salt may attenuate the antihypertensive effect. Take with or without food. The absorption is unaffected by food."
"DB00791"|""
"DB00792"|""
"DB00793"|""
"DB00794"|"Avoid alcohol. Avoid St. John's Wort."
"DB00795"|"Drink plenty of fluids. Inadequate fluid intake is associated with crystalluria and stone formation."
"DB00796"|"Take at the same time every day. Take with or without food. The absorption is unaffected by food."
"DB00797"|""
"DB00798"|""
"DB00799"|""
"DB00800"|"Take on an empty stomach. Orally administered fenoldopam should be taken in a fasted state for optimal absorption."
"DB00801"|""
"DB00802"|""
"DB00803"|""
"DB00804"|"Avoid alcohol. Alcohol may increase drowsiness caused by dicyclomine. Drink plenty of fluids. Dicyclomine may reduce sweating, increasing the risk of overheating in warm weather or during exercise."
"DB00805"|""
"DB00806"|"Limit caffeine intake. Take with food. Administration with food may reduce irritation. Co-administration with food modestly increases the mean pentoxifylline AUC and maximum plasma concentrations (1.1- and 1.3-fold, respectively) achieved with an extended-release tablet."
"DB00807"|""
"DB00808"|"Avoid alcohol. Alcohol may potentiate orthostatic hypotension. Increase consumption of potassium-rich foods. Indapamide my cause potassium depletion leading to hypokalemia. Take with or without food."
"DB00809"|""
"DB00810"|"Avoid alcohol. Take with food."
"DB00811"|"Avoid alcohol. Ribavirin is used to treat chronic hepatitis C infection; ingesting alcohol may worsen this infection. Take with food. Taking ribavirin with a high-fat meal slows the absorption and increases the AUC and Cmax of ribavirin."
"DB00812"|"Avoid alcohol. Take with food. Food reduces irritation."
"DB00813"|"Avoid alcohol."
"DB00814"|"Avoid alcohol. The risk of gastrointestinal bleeding may be increased. Take with or without food. The absorption is unaffected by food."
"DB00815"|"Take after a meal. When Sodium lauryl sulfate is formulated in paste form for oral health, it should be used after meals."
"DB00816"|"Limit caffeine intake. Take with or without food. The absorption is unaffected by food."
"DB00817"|""
"DB00818"|""
"DB00819"|"Drink plenty of fluids. Take with food. Take at least 6 hours before bedtime."
"DB00820"|"Avoid excessive or chronic alcohol consumption. Ingesting excess amounts of alcohol (more than four drinks in a short time) may potentiate the hypotension and dizziness caused by tadalafil. Avoid grapefruit products. Tadalafil is metabolized by CYP3A4, and grapefruit products are CYP3A4 inhibitors; therefore, coadministration may increase serum levels of tadalafil and result in increased hypotension. Take with or without food."
"DB00821"|""
"DB00822"|"Avoid alcohol. Avoid alcohol for up to 14 days after discontinuation. Take with or without food. The absorption is unaffected by food."
"DB00823"|""
"DB00824"|""
"DB00825"|""
"DB00826"|""
"DB00827"|""
"DB00828"|"Take with or without food. The absorption is unaffected by food."
"DB00829"|"Avoid alcohol. Take on an empty stomach. Food may decrease absorption and time to therapeutic effect."
"DB00830"|""
"DB00831"|"Avoid excessive or chronic alcohol consumption. Ingesting alcohol may potentiate the sedative and CNS depressant effects of trifluoperazine."
"DB00832"|""
"DB00833"|"Take with or without food."
"DB00834"|"Avoid grapefruit products. Grapefruit inhibits the metabolism of mifepristone through the CYP3A4 pathway causing increased serum levels of mifepristone. Take with food. Taking mifepristone with meals has been shown to increase serum levels of mifepristone."
"DB00835"|"Avoid alcohol. Take with food."
"DB00836"|""
"DB00837"|""
"DB00838"|""
"DB00839"|"Avoid excessive or chronic alcohol consumption. Ingesting alcohol may increase the risk of hypoglycemia. Take with food. Taking tolazamide with breakfast may help reduce the risk of hypoglycemia."
"DB00840"|""
"DB00841"|""
"DB00842"|"Avoid alcohol. Co-administration with alcohol may potentiate the CNS effects of oxazepam."
"DB00843"|"Avoid alcohol. Take with or without food. The absorption is unaffected by food."
"DB00844"|"Avoid alcohol. Ingesting alcohol may increase the sedative and CNS depressant effects of nalbuphine."
"DB00845"|"Take with food. Prescribing information for clofazimine recommends its administration with a meal."
"DB00846"|""
"DB00847"|"Take on an empty stomach. The delayed-release capsules should be taken at least 30 minutes before or 2 hours after a high-fat meal to ensure adequate exposure. Take with or without food. The immediate release preparation can be taken with or without food."
"DB00848"|"Take on an empty stomach."
"DB00849"|""
"DB00850"|"Avoid alcohol. Consuming alcohol may increase hypotension. Perphenazine may increase the effects of alcohol."
"DB00851"|"Take on an empty stomach. Fasting for four to six hours before treatment may be beneficial to reduce nausea and vomiting associated with Dacarbazine therapy."
"DB00852"|"Take with or without food. The absorption is unaffected by food."
"DB00853"|"Take at the same time every day. Take on an empty stomach. Food reduces the absorption of temozolomide and taking it on an empty stomach may reduce temozolomide associated nausea and vomiting."
"DB00854"|"Avoid alcohol. Take with or without food. Food does not significantly affect absorption."
"DB00855"|""
"DB00856"|""
"DB00857"|"Limit caffeine intake. Terbinafine may reduce the metabolism of caffeine by approximately 19%, monitor for increased effects of caffeine. Take with or without food."
"DB00858"|""
"DB00859"|"Drink plenty of fluids. Take on an empty stomach. Co-administration with food decreases bioavailability."
"DB00860"|"Avoid alcohol. Take with food. Food reduces irritation."
"DB00861"|"Avoid alcohol. Take with food. Food reduces irritation."
"DB00862"|"Avoid grapefruit products. Vardenafil is metabolized by CYP3A4, and grapefruit products are CYP3A4 inhibitors; therefore, coadministration may increase serum levels of vardenafil and result in increased hypotension. . Take with or without food. High-fat meals reduce the Cmax of vardenafil; however, there are no changes in AUC or Tmax."
"DB00863"|"Take with or without food. The absorption is unaffected by food."
"DB00864"|"Avoid alcohol. Consuming alcohol may increase the rate of tacrolimus release from extended-release formulations. Avoid grapefruit products. Exercise caution with St. John's Wort. This herb induces the CYP3A4 metabolism of tacrolimus; therefore, monitoring tacrolimus whole blood trough concentrations may be warranted. Take at the same time every day. Take on an empty stomach. Take at least 1 hour before or 2 hours after a meal as coadministration with food decreases the rate and extent of absorption. Take separate from antacids. Coadministration of tacrolimus with aluminum or magnesium hydroxide antacids may increase the serum levels of tacrolimus, which poses a risk for toxicity."
"DB00865"|"Limit caffeine intake. Excess caffeine intake may increase the CNS stimulation caused by benzphetamine hydrochloride."
"DB00866"|""
"DB00867"|""
"DB00868"|"Take with or without food. The absorption is unaffected by food."
"DB00869"|""
"DB00870"|""
"DB00871"|""
"DB00872"|""
"DB14596"|""
"DB00874"|"Take with a full glass of water. Take with or without food. The absorption is unaffected by food."
"DB00875"|"Avoid alcohol. Flupentixol can enhance the sedative effects of alcohol. Take with or without food. Food has negligible effects on drug pharmacokinetics."
"DB00876"|"Take with or without food. The absorption is unaffected by food."
"DB00877"|"Avoid grapefruit products. Grapefruit inhibits the CYP3A4 metabolism of sirolimus and increases its serum concentration. Exercise caution with St. John's Wort. This herb induces CYP3A4 and P-gp; thus it may reduce sirolimus serum concentrations. Take with or without food. Take consistently with regard to food."
"DB00878"|"Take separate from meals. May affect the taste of food and beverages. Avoid eating or drinking for 30 minutes following use."
"DB00879"|"Take with or without food. The absorption is unaffected by food."
"DB00880"|""
"DB00881"|"Avoid fatty foods. Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice). Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia. Limit salt intake. Salt may attenuate the antihypertensive effect."
"DB00882"|"Take with or without food. The absorption is unaffected by food."
"DB00883"|"Take with or without food. Food decreases drug absorption."
"DB00884"|"Administer vitamin supplements. Patients may require supplemental vitamin D. Avoid multivalent ions. Calcium, antacids, and divalent ions may interfere with the absorption of this medication. Take on an empty stomach. Take with a full glass of water."
"DB00885"|""
"DB00886"|""
"DB00887"|"Take with food. Food reduces irritation."
"DB00888"|""
"DB00889"|"Take with or without food. The absorption is unaffected by food."
"DB00890"|""
"DB00891"|""
"DB00892"|""
"DB00893"|""
"DB00894"|""
"DB00895"|""
"DB00896"|""
"DB00897"|"Avoid alcohol. Ingesting alcohol may increase the risk of complex behaviors like sleep-driving, which the patient does not remember. Avoid grapefruit products. Grapefruit may reduce the CYP3A4 metabolism of triazolam, which increases the serum concentration of triazolam."
"DB00898"|""
"DB00899"|"Avoid alcohol. Ingesting alcohol may increase the sedative and CNS depressant effects of remifentanil."
"DB00900"|"Avoid alcohol. Take on an empty stomach. Take at least 1 hour before or 2 hours after meals."
"DB00901"|""
"DB00902"|""
"DB00903"|"Take with food. Food reduces irritation."
"DB00904"|"Take with or without food. The absorption is unaffected by food."
"DB00905"|""
"DB00906"|"Avoid alcohol. Ingesting alcohol may increase drowsiness and dizziness. Take with food."
"DB00907"|""
"DB00908"|"Exercise caution with grapefruit products. Grapefruit may delay the absorption of quinidine, and inhibit its metabolism through CYP3A4. Exercise caution with St. John's Wort. Take separate from antacids. Antacids may reduce the absorption of quinidine. Take with or without food. Taking quinidine with food may slow its absorption."
"DB00909"|"Avoid alcohol. Ingesting alcohol may increase drowsiness and dizziness. Take with or without food."
"DB00910"|"Avoid antacids. Avoid taking aluminum-containing antacids chronically with paricalcitol as there is an increased risk of aluminum toxicity. Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4, and paricalcitol metabolism is mediated partially through CYP3A4; therefore, grapefruit may increase paricalcitol serum levels. Take with or without food."
"DB00911"|"Avoid alcohol. Avoid concomitant use of alcohol with tinidazole as it may cause flushing, nausea, vomiting, and headaches. Take with food. Administering with food may reduce gastrointestinal upset and epigastric discomfort caused by tinidazole but does not affect bioavailability."
"DB00912"|"Take before a meal. Repaglinide should be taken before each meal of the day."
"DB00913"|"Take with or without food. The absorption is unaffected by food."
"DB00914"|""
"DB00915"|"Avoid alcohol. Take with or without food. The absorption is unaffected by food."
"DB00916"|"Avoid alcohol. Unpleasant symptoms such as nausea, vomiting, and abdominal distress may occur with alcohol. Take with or without food. The extended release formulation should, however, be taken without food."
"DB00917"|""
"DB00918"|"Take with or without food. The absorption is unaffected by food."
"DB00919"|""
"DB00920"|"Take with or without food. The co-administration of food does not significantly affect ketotifen disposition."
"DB00921"|"Avoid alcohol. Ingesting alcohol may increase the sedative and CNS depressant effects of buprenorphine. Avoid grapefruit products. Grapefruit inhibits the metabolism of buprenorphine through CYP3A4, which increases the serum levels buprenorphine. Take separate from meals. When buprenorphine is formulated as a sublingual tablet or buccal film, avoid eating or drinking until the dosage form is completely dissolved."
"DB00922"|""
"DB00923"|""
"DB00924"|"Avoid alcohol. Cyclobenzaprine is a central nervous system depressant which may be potentiated by the co-administration of alcohol."
"DB00925"|""
"DB00926"|"Avoid alcohol. Alcohol should be completely avoided for up to 2 months after discontinuation. Take with food. Food increases absorption."
"DB00927"|"Avoid excessive or chronic alcohol consumption. Alcohol increases the risk of gastric irritation. Limit caffeine intake. Caffeine and other acidic beverages increases the risk of gastric irritation. Take with or without food. Food slightly increases bioavailability, but not to a clinically significant extent."
"DB00928"|""
"DB00929"|"Take with food. Food decreases incidence of diarrhea."
"DB00930"|"Drink plenty of fluids. Take with food."
"DB00931"|""
"DB00932"|"Take with or without food. However, if taken with ritonavir tablets, tipranavir should be taken with food."
"DB00933"|"Take with food. Food reduces irritation."
"DB00934"|"Limit caffeine intake. Take with or without food."
"DB00935"|""
"DB00936"|""
"DB00937"|"Take with or without food. The absorption is unaffected by food."
"DB00938"|""
"DB00939"|"Avoid excessive or chronic alcohol consumption. Ingesting alcohol may increase the risk of developing a gastrointestinal bleed. Take with or without food. Taking meclofenamic acid with food reduces the rate and extent of its absorption; however it also reduces gastrointestinal upset caused by meclofenamic acid."
"DB00940"|""
"DB00941"|""
"DB00942"|""
"DB00943"|"Avoid multivalent ions. Magnesium and aluminum containing products can reduce the absorption of this medication. Take on an empty stomach. Take at least 1 hour before or 2 hours after meals."
"DB00944"|""
"DB00945"|"Avoid alcohol. Alcohol increases the risk of gastrointestinal bleeding. Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba. Take after a meal. This reduces irritating gastrointestinal effects. Take with a full glass of water."
"DB00946"|"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba. Ensure consistent Vitamin K intake. Changes in vitamin K intake may impact coagulation. Exercise caution with grapefruit products. Exercise caution with St. John's Wort."
"DB00947"|""
"DB00948"|""
"DB00949"|"Avoid alcohol."
"DB00950"|"Avoid fruit juice. Fruit juices like grapefruit, orange, and apple may reduce bioavailability and overall exposure to the medication. Take with or without food. Co-administration with food does not significantly affect absorption."
"DB00951"|"Administer vitamin supplements. Vitamin B6 (pyridoxine) should be given with isoniazid to prevent deficiency. Avoid alcohol. Avoid drinking alcoholic beverages such as unpasteurized beer; unless approved by your physician, as they may contain tyramine. Consuming alcohol may also increase the risk of isoniazid induced hepatitis and neuropathy. Avoid chocolate. Chocolate contains caffeine, which should be limited during isoniazid therapy. Avoid histamine-containing foods and supplements. Histamine-containing foods (e.g., skipjack, tuna, other tropical fish) can cause headaches, sweating, palpitations, flushing, and hypotension. Avoid tyramine-containing foods and supplements. Tyramine-containing foods include cheese, red wine, fava beans, pickled food, cured food, and alcoholic beverages. Limit caffeine intake. Take on an empty stomach. Take at least 1 hour before or 2 hours after meals. Take separate from antacids. Taking this medication with antacids can reduce absorption."
"DB00952"|"Take with or without food. The absorption is unaffected by food."
"DB00953"|"Take with or without food. Food has no significant effect on the bioavailability of rizatriptan but delays the time to reach peak concentration by an hour."
"DB00954"|""
"DB00955"|""
"DB00956"|"Avoid alcohol. Profound CNS depression, including sedation, respiratory depression, coma, and death may occur. Take with or without food. Cmax and AUC are not altered by food in a clinically significant way."
"DB00957"|"Take at the same time every day. Take with or without food."
"DB00958"|"Avoid echinacea. Co-administration may decrease effectiveness of immunosuppressants."
"DB00959"|"Avoid alcohol. Take with food. Food reduces GI irritation."
"DB00960"|"Avoid alcohol. Alcohol may aggravate signs and symptoms of overdose. Take with or without food. Food does not significantly affect absorption."
"DB00961"|""
"DB00962"|"Avoid alcohol. Ingesting alcohol may increase the CNS depressant effects of zaleplon. Do not take with or immediately after a high-fat meal. The effects of zaleplon are reduced when taken with a high-fat meal."
"DB00963"|""
"DB00964"|""
"DB00965"|""
"DB00966"|"Take with or without food. Bioavailability may be slightly reduced by taking telmisartan with food."
"DB00967"|"Take with or without food. The absorption is unaffected by food."
"DB00968"|"Take with or without food. Drug pharmacokinetics is unaffected."
"DB00969"|"Take with or without food. The absorption is unaffected by food."
"DB00970"|""
"DB00971"|""
"DB00972"|"Avoid alcohol. Ingesting alcohol may cause additive CNS depressant effects."
"DB00973"|"Take with or without food. Co-administration with food does not affect absorption."
"DB00974"|"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
"DB00975"|"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba. Avoid xanthines. Xanthines, found in coffee and tea, can reduce the effectiveness of this medication. Take with or without food. Taking dipyridamole extrended release capusels with a high-fat meal minimally reduces it's AUC and Cmax."
"DB00976"|"Take with or without food. The absorption is unaffected by food."
"DB00977"|"Avoid St. John's Wort. St. John's Wort may decrease the effectiveness of ethinylestradiol."
"DB00978"|"Avoid multivalent ions. Separate the administration polyvalent ions, including magnesium and aluminum-containing antacids, from lomefloxacin by at least 4 hours before and 2 hours after lomefloxacin dosing. Take with or without food. The rate and extent of absorption may be reduced when lomefloxacin is taken with food."
"DB00979"|""
"DB00980"|"Avoid alcohol. Do not take with or immediately after a high-fat meal."
"DB00981"|""
"DB00982"|"Avoid alcohol. Alcohol with isotretinoin can lead to inflammation of the liver. Avoid vitamin A supplements. Take with food. High-fat food increases drug absorption."
"DB00983"|""
"DB00984"|""
"DB00985"|"Avoid alcohol."
"DB00986"|"Take with or without food. The absorption is unaffected by food."
"DB00987"|""
"DB00988"|""
"DB00989"|"Take with food. Administering rivastigmine capsules with food delays absorption but increases the AUC."
"DB00990"|"Take with food. The manufacturer recommends administration following a meal."
"DB00991"|"Take with food. Take once daily after breakfast. Food decreases the rate but not the extent of absorption."
"DB00992"|""
"DB00993"|"Take with food. Food reduces irritation."
"DB00994"|""
"DB00995"|"Take with food. Food reduces irritation."
"DB00996"|"Avoid alcohol. Gabapentin possesses CNS depressant activity that may be potentiated by co-administration with alcohol. Take with or without food. Co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent."
"DB00997"|"Avoid St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum concentration of doxorubicin. Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of doxorubicin."
"DB00998"|"Take with or without food. Food does not affect bioavailability, but delays maximum concentrations by one hour."
"DB00999"|"Avoid alcohol. Alcohol may potentiate orthostatic hypotension. Avoid multivalent ions. Take this medication 2 hours before or after the administration of antacids, calcium supplements, or iron supplements to avoid decreased absorption of hydrochlorothiazide. Avoid natural licorice. Licorice potentiates the hypokalemic effect of hydrochlorothiazide. Increase consumption of potassium-rich foods. This medication may cause potassium depletion. Foods containing potassium include bananas and orange juice. Limit salt intake. Avoid excessive salt, unless recommended by a physician. Take with or without food."
"DB01000"|""
"DB01001"|""
"DB01002"|""
"DB01003"|"Take before a meal. Take cromolyn sodium 30 minutes before meals."
"DB01004"|"Take with food. Food increases bioavailability."
"DB01005"|"Drink plenty of fluids. Drinking extra fluids will help pass more urine to prevent kidney problems and keep the kidneys working well."
"DB01006"|"Take with or without food. Food slows absorption without decreasing the quantity absorbed."
"DB01007"|""
"DB01008"|"Drink plenty of fluids. Exercise caution with grapefruit products. Exercise caution with St. John's Wort. Take at the same time every day."
"DB01009"|"Avoid alcohol. Take with food. Food reduces irritation."
"DB01010"|""
"DB01011"|"Take with food. Take metyrapone with milk or a snack according to the specific instructions for a single or multi-dose test."
"DB01012"|"Take with food. Food markedly increases product bioavailability."
"DB01013"|""
"DB01014"|"Take with or without food."
"DB01015"|""
"DB01016"|"Avoid alcohol. Alcohol increases the risk of hypoglycemia. Take before a meal. Take 30-60 minutes before breakfast."
"DB01017"|"Avoid multivalent ions. Separate administration of aluminium, calcium, iron and magnesium containing products from medication by at least 2 hours. Take with or without food."
"DB01018"|"Avoid alcohol. Do not take with or immediately after a high-fat meal. High fat meals increase drug exposure."
"DB01019"|"Take on an empty stomach. Nausea and vomiting may occur if taken after food."
"DB01020"|"Take with or without food. The absorption is unaffected by food."
"DB01021"|""
"DB01022"|""
"DB01023"|"Avoid grapefruit products. Take with or without food. The absorption is unaffected by food."
"DB01024"|"Take on an empty stomach. Take mycophenolic acid at least 1 hour before or 2 hours after eating."
"DB01025"|""
"DB01026"|"Avoid alcohol. Drinking alcohol while on ketoconazole treatment may cause liver injury. Avoid multivalent ions. They may decrease ketoconazole concentrations. Take with food. Food decreases gastrointestinal irritation caused by ketoconazole."
"DB01028"|"Avoid alcohol. Ingesting alcohol may increase the CNS depressant effects of methoxyflurane."
"DB01029"|"Take with or without food. The absorption is unaffected by food."
"DB01030"|"Take with or without food."
"DB01031"|""
"DB01032"|"Avoid alcohol. Drink plenty of fluids. Take with food. Food reduces irritation."
"DB01033"|"Drink plenty of fluids. Take on an empty stomach."
"DB01034"|""
"DB01035"|"Avoid alcohol. Take with food. Food reduces irritation."
"DB01036"|"Take with food."
"DB01037"|"Avoid tyramine-containing foods and supplements. Consuming foods containing tyramine such as yogurt, aged cheese, ripe bananas, wine, and sourdough bread may increase the risk of having an uncontrolled hypertensive reaction. Take before a meal. Take selegiline oral disintegrating tablets before breakfast and at least 5 minutes before or after any food or drink. Taking selegiline with food reduces the AUC by approximately 60%. Take with food. Take selegiline capsules or tablets with breakfast and lunch. Food can increase the exposure to selegiline by 3-4 fold."
"DB01038"|""
"DB01039"|"Take with food. Bioavailability is increased 2- to 3-fold when taken with food."
"DB01041"|"Avoid alcohol. Ingesting alcohol may increase the drowsiness caused by thalidomide. Take after a meal. Wait at least 1 hour after eating before taking thalidomide."
"DB01042"|""
"DB01043"|"Take with a full glass of water. Take with or without food. The absorption is unaffected by food."
"DB01044"|"Drink plenty of fluids. Take with or without food. The absorption is unaffected by food."
"DB01045"|"Avoid alcohol. Take on an empty stomach. Take at least 1 hour before or 2 hours after meals. Take with a full glass of water."
"DB01046"|"Take with a full glass of water. Take with food. Taking lubiprostone with food may reduce nausea."
"DB01047"|""
"DB01048"|"Avoid alcohol. Alcohol increases the systemic exposure to the drug. Take with or without food. The absorption is unaffected by food."
"DB01049"|"Take with or without food. Taking ergoloid mesylate with food may reduce gastrointestinal upset."
"DB01050"|"Avoid alcohol. Take with food. Food reduces irritation."
"DB01051"|""
"DB01053"|""
"DB01054"|"Take with or without food."
"DB01055"|""
"DB01056"|""
"DB01057"|""
"DB01058"|"Avoid grapefruit products. Take with food."
"DB01059"|"Drink plenty of fluids. Limit caffeine intake. Take on an empty stomach."
"DB01060"|"Take with food."
"DB01061"|""
"DB01062"|"Avoid alcohol. Take with or without food."
"DB01063"|""
"DB01064"|""
"DB01065"|"Avoid alcohol. Ingesting alcohol may reduce the effects of melatonin. Take after a meal. Administration of melatonin after eating slows the absorption and reduces the Cmax of melatonin."
"DB01066"|"Avoid multivalent ions. Avoid antacids containing magnesium and aluminum hydroxides when possible, otherwise separate the administration of antacids and this drug by several hours."
"DB01067"|"Avoid excessive or chronic alcohol consumption. The risk of hypoglycemia is increased when alcohol is ingested. Take before a meal. Take 30-60 minutes before breakfast."
"DB01068"|"Avoid alcohol. Limit caffeine intake. Take with or without food. The absorption is unaffected by food."
"DB01069"|"Avoid alcohol. Alcohol may increase the sedation caused by promethazine."
"DB01070"|""
"DB01071"|""
"DB01072"|"Take with food. Food increases product absorption and reduces pharmacokinetic variability."
"DB01073"|"Take with or without food. Administration with food delays absorption, but not to a clinically significant extent."
"DB01074"|""
"DB01075"|"Avoid alcohol. Take before a meal. Take 30 minutes before a meal or 30 minutes before departure for motion sickness."
"DB01076"|"Avoid grapefruit products. Grapefruit products may increase the risk for atorvastatin related adverse effects such as myopathy and rhabdomyolysis. Take with or without food. Food decreases absorption but not to a clinically significant extent."
"DB01077"|"Avoid multivalent ions. Separate administration from multivalent ions by at least two hours. Take on an empty stomach. Take with a full glass of water."
"DB01078"|""
"DB01079"|"Take before a meal. To increase absorption, take 30 minutes before a meal."
"DB01080"|"Take with or without food. Take with plain water. Only mix vigabatrin oral solution powder with plain water."
"DB01081"|"Avoid alcohol. Take with food."
"DB01082"|""
"DB01083"|"Take with food. Take with meals or up to 1 hour after a meal. Doses may be skipped for missed meals or fat-free meals."
"DB01084"|""
"DB01085"|"Take with or without food. A high fat meal decreases Cmax and the time to reach Cmax, but not to a clinically significant extent."
"DB01086"|""
"DB01087"|"Take with food. Food decreases irritation."
"DB01088"|"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Taking iloprost with anticoagulant/antiplatelet herbs may increase the risk of bleeding occurring as an adverse effect. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
"DB01089"|""
"DB01090"|""
"DB01091"|""
"DB01092"|""
"DB01093"|""
"DB01094"|""
"DB01095"|"Take with or without food. Should be taken consistently in regards to meals."
"DB01096"|""
"DB01097"|"Take with or without food. The absorption is unaffected by food."
"DB01098"|"Take with or without food. Co-administration with food does not affect absorption."
"DB01099"|""
"DB01100"|"Avoid grapefruit products. Grapefruit inhibits CYP3A4 and, therefore, may increase pimozide serum levels. Exercise caution with St. John's Wort."
"DB01101"|"Take at the same time every day. Take XELODA 2 times a day at the same time each day, about 12 hours apart. Take with food. Take XELODA within 30 minutes after finishing a meal. Take with plain water. Swallow XELODA tablets whole with water. Do not chew, cut, or crush XELODA tablets."
"DB01102"|""
"DB01103"|""
"DB01104"|"Avoid St. John's Wort. Take with or without food."
"DB01105"|""
"DB01106"|""
"DB01107"|"Take with or without food. The absorption is unaffected by food."
"DB01108"|""
"DB01109"|"Administer calcium supplement. This drug decreases calcium levels. Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
"DB01110"|""
"DB01111"|""
"DB01112"|"Take with food. Food increases absorption."
"DB01113"|""
"DB01114"|"Avoid alcohol. Take with food."
"DB01115"|"Avoid excessive or chronic alcohol consumption. Avoid grapefruit products. Grapefruit down-regulates post-translational expression of CYP3A4, the major metabolizing enzyme of nifedipine. Grapefruit, in all forms (e.g. whole fruit, juice and rind), can significantly increase serum levels of nifedipine and may cause toxicity. Avoid grapefruit products while on this medication. Avoid natural licorice. Take with or without food."
"DB01116"|""
"DB01117"|"Take with food. Administration with a meal significantly enhances bioavailability."
"DB01118"|"Avoid grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of amiodarone. Avoid St. John's Wort. This herb induces the CYP3A4 metabolism of amiodarone. Therefore it may reduce the serum concentration and effectiveness of amiodarone. Take with or without food. The absorption is unaffected by food."
"DB01119"|""
"DB01120"|"Avoid alcohol. Take with or without food. Consistent food intake reduces the risk of hypoglycemia."
"DB01121"|"Take with or without food. Co-administration with food may reduce gastrointestinal upset."
"DB01122"|""
"DB01123"|""
"DB01124"|"Avoid alcohol. Ingesting alcohol may precipitate a disulfiram-like reaction (flushing, nausea), or hypoglycemia. Take with or without food."
"DB01125"|""
"DB01126"|"Take with or without food. The absorption is unaffected by food."
"DB01127"|""
"DB01128"|"Take at the same time every day. Take with or without food. Food does not significantly affect absorption."
"DB01129"|"Take with or without food. Food delays drug absorption, but not to a clinically significant extent."
"DB01130"|""
"DB01131"|"Take with food."
"DB01132"|"Take with or without food. Food delays drug absorption, but not to a clinically significant extent."
"DB01133"|"Take at least 2 hours before or after calcium supplements. Take on an empty stomach. Take at least 2 hours before or after meals. Take separate from antacids. Take at least 2 hours before or after antacids. The bioavailability of this medication is significantly reduced when administered with aluminum or magnesium containing antacids. Take with a full glass of water."
"DB01134"|""
"DB01135"|""
"DB01136"|"Take with food. Food slows the absorption and reduces the incidence of adverse effects."
"DB01137"|"Take with or without food. Food slightly alters kinetics but not to any clinically significant extent."
"DB01138"|"Take with food."
"DB01139"|""
"DB01140"|"Take with or without food. Administration with food may be helpful in diminishing potential gastrointestinal complaints occasionally associated with oral cephalosporin therapy."
"DB01141"|""
"DB01142"|"Avoid alcohol. Co-administration may enhance CNS adverse effects such as drowsiness and sedation. Avoid St. John's Wort. Co-administration may lead to decreased serum concentrations of doxepin."
"DB01143"|""
"DB01144"|"Increase consumption of potassium-rich foods. Diclofenamide may cause hypokalemia, therefore consuming more potassium-rich foods may help prevent hypokalemia."
"DB01145"|""
"DB01146"|""
"DB01147"|"Take on an empty stomach. Orally administered cloxacillin should be taken 1-2 hours prior to meals as the presence of food in the stomach and intestine reduces drug absorption."
"DB01148"|"Take with or without food. The absorption is unaffected by food."
"DB01149"|"Avoid alcohol. Take at the same time every day. Take with or without food."
"DB01150"|"Take with or without food. The absorption is unaffected by food."
"DB01151"|"Avoid alcohol. Limit caffeine intake. Take with food. Food reduces irritation."
"DB01152"|""
"DB01153"|""
"DB01154"|""
